WL(nm),ALI MS-1,ALI MS-2,ALI MS-3,ALI MS-4,ALI MS-4p,ALI MS-5p,ALI MS-5,ALI MS-7
400,0,0,0,0,0,0,0,0
401,0,0,0,0,0,0,0,0
402,0,0,0,0,0,0,0,0
403,0,0,0,0,0,0,0,0
404,0,0,0,0,0,0,0,0
405,0,0,0,0,0,0,0,0
406,0,0,0,0,0,0,0,0
407,0,0,0,0,0,0,0,0
408,0,0,0,0,0,0,0,0
409,0,0,0,0,0,0,0,0
410,0,0,0,0,0,0,0,0
411,0,0,0,0,0,0,0,0
412,0,0,0,0,0,0,0,0
413,0,0,0,0,0,0,0,0
414,0,0,0,0,0,0,0,0
415,0,0,0,0,0,0,0,0
416,0,0,0,0,0,0,0,0
417,0,0,0,0,0,0,0,0
418,0,0,0,0,0,0,0,0
419,0,0,0,0,0,0,0,0
420,0,0,0,0,0,0,0,0
421,0,0,0,0,0,0,0,0
422,0,0,0,0,0,0,0,0
423,0.00001,0,0,0,0,0,0,0
424,0.00002,0,0,0,0,0,0,0
425,0.00001,0,0,0,0,0,0,0
426,0.00002,0,0,0,0,0,0,0
427,0.00002,0,0,0,0,0,0,0
428,0.00002,0,0,0,0,0,0,0
429,0.00003,0,0,0,0,0,0,0
430,0.00004,0,0,0,0,0,0,0
431,0.00006,0,0,0,0,0,0,0
432,0.00009,0,0,0,0,0,0,0
433,0.00016,0,0,0,0,0,0,0
434,0.00021,0,0,0,0,0,0,0
435,0.00039,0,0,0,0,0,0,0
436,0.00067,0,0,0,0,0,0,0
437,0.0011,0,0,0,0,0,0,0
438,0.00184,0,0,0,0,0,0,0
439,0.00291,0,0,0,0,0,0,0
440,0.00443,0,0,0,0,0,0,0
441,0.00623,0,0,0,0,0,0,0
442,0.00839,0,0,0,0,0,0,0
443,0.01139,0,0,0,0,0,0,0
444,0.01566,0,0,0,0,0,0,0
445,0.02255,0,0,0,0,0,0,0
446,0.03517,0,0,0,0,0,0,0
447,0.05748,0,0,0,0,0,0,0
448,0.10196,0,0,0,0,0,0,0
449,0.18264,0,0,0,0,0,0,0
450,0.31656,0,0,0,0,0,0,0
451,0.4625,0,0,0,0,0,0,0
452,0.55808,0,0,0,0,0,0,0
453,0.58908,0,0,0,0,0,0,0
454,0.59755,0,0,0,0,0,0,0
455,0.60835,0,0,0,0,0,0,0
456,0.62161,0,0,0,0,0,0,0
457,0.6342,0,0,0,0,0,0,0
458,0.64768,0,0,0,0,0,0,0
459,0.65556,0,0,0,0,0,0,0
460,0.66082,0,0,0,0,0,0,0
461,0.66457,0,0,0,0,0,0,0
462,0.67297,0,0,0,0,0,0,0
463,0.6812,0,0,0,0,0,0,0
464,0.69173,0,0,0,0,0,0,0
465,0.70316,0,0,0,0,0,0,0
466,0.71233,0,0,0,0,0,0,0
467,0.72016,0,0,0,0,0,0,0
468,0.72509,0,0,0,0,0,0,0
469,0.72471,0,0,0,0,0,0,0
470,0.72492,0,0,0,0,0,0,0
471,0.72439,0,0,0,0,0,0,0
472,0.72452,0,0,0,0,0,0,0
473,0.72742,0,0,0,0,0,0,0
474,0.73752,0,0,0,0,0,0,0
475,0.75121,0,0,0,0,0,0,0
476,0.76916,0,0,0,0,0,0,0
477,0.78729,0,0,0,0,0,0,0
478,0.8052,0,0,0,0,0,0,0
479,0.82417,0,0,0,0,0,0,0
480,0.83452,0,0,0,0,0,0,0
481,0.84409,0,0,0,0,0,0,0
482,0.85321,0,0,0,0,0,0,0
483,0.85862,0,0,0,0,0,0,0
484,0.8676,0,0,0,0,0,0,0
485,0.87198,0,0,0,0,0,0,0
486,0.87556,0,0,0,0,0,0,0
487,0.87814,0,0,0,0,0,0,0
488,0.88039,0,0,0,0,0,0,0
489,0.87934,0,0,0,0,0,0,0
490,0.87749,0,0,0,0,0,0,0
491,0.87441,0,0,0,0,0,0,0
492,0.87891,0,0,0,0,0,0,0
493,0.88112,0,0,0,0,0,0,0
494,0.8896,0,0,0,0,0,0,0
495,0.89782,0,0,0,0,0,0,0
496,0.9093,0,0,0,0,0,0,0
497,0.9231,0,0,0,0,0,0,0
498,0.93652,0,0,0,0,0,0,0
499,0.9534,0,0,0,0,0,0,0
500,0.96872,0.00006,0,0,0,0,0,0
501,0.97846,0.00007,0,0,0,0,0,0
502,0.98377,0.00009,0,0,0,0,0,0
503,0.98798,0.0001,0,0,0,0,0,0
