WL(nm),IKONOS Pan,IKONOS Blue,IKONOS Green,IKONOS Red,IKONOS NIR
350,0.00077741067,0.00077314711,0.00064337311,0,0.0008943938
355,0.00061947331,0.0014626867,0.00079976143,0.00050394792,0.00053223522
360,0.00036069854,0.00086581666,0.00072942461,0.0003906392,0.0006738811
365,0.00024353845,0.000730896,0.00080608661,0.00059653427,0.00084684031
370,0.00043466435,0.00071724262,0.00057731742,0.00032843387,0.00072876294
375,0.00091404693,0.0012506797,0.00084196675,0.00084672784,0.0009058461
380,0.0024001777,0.0017035419,0.00064094889,0.00065034545,0.0009037011
385,0.0052503078,0.0019217956,0.00086875737,0.00038254309,0.0023044702
390,0.010245125,0.0027900442,0.00059562681,0.0014974456,0.0021236702
395,0.016984666,0.0051836569,0.0013098344,0.0020200254,0.0041607066
400,0.026385823,0.00767318,0.0012021938,0.003020629,0.0052395638
405,0.038041916,0.008790581,0.0026867087,0.0035158886,0.0075857816
410,0.052265005,0.011868646,0.0009895413,0.0040077491,0.010529217
415,0.066479044,0.017451993,0.0012725647,0.0041279274,0.020679083
420,0.083488105,0.035004138,0.0019449343,0.0077842264,0.034606915
425,0.100976,0.085397997,0.0026518933,0.0083915831,0.044575285
430,0.12378345,0.19292786,0.0033753224,0.0081923637,0.037077859
435,0.14782809,0.33054558,0.0040368896,0.0050570114,0.018122511
440,0.16951453,0.41948406,0.0057021578,0.0026087593,0.016147587
445,0.19348053,0.50818577,0.0090709018,0.0042942914,0.017633697
450,0.20503411,0.61323053,0.011339041,0.0054546764,0.016837282
455,0.24464997,0.67420645,0.011295982,0.0054619914,0.016765554
460,0.26126017,0.72043195,0.01303784,0.0029138849,0.018858812
465,0.28176425,0.76083093,0.017194767,0.0016977291,0.014331057
470,0.30073752,0.76010427,0.024458576,0.0015422991,0.0098147033
475,0.31832209,0.78833631,0.036703954,0.0036413935,0.015305125
480,0.32448128,0.8565777,0.050263808,0.0042814374,0.022097758
485,0.33429049,0.88935769,0.062755079,0.002515174,0.026839345
490,0.34289939,0.9436362,0.10935807,0.0020317932,0.027276465
495,0.35087863,1,0.19310667,0.001327659,0.017431805
500,0.35902838,0.98678621,0.29106686,0.0014986639,0.0074738105
505,0.37494414,0.92554248,0.43956782,0.001509382,0.0051977442
510,0.39216563,0.76133264,0.65072292,0.0021278211,0.005731829
515,0.42360872,0.54244311,0.80655149,0.0023627978,0.0042014328
520,0.4556681,0.31393006,0.87174607,0.002715802,0.003303535
525,0.48890417,0.20409228,0.88835454,0.0033818302,0.0024835306
530,0.5294827,0.15192548,0.88977509,0.0028686557,0.0025630409
535,0.56872983,0.085621597,0.87492808,0.0028591883,0.0060639729
540,0.61608565,0.043174832,0.85210806,0.0040588958,0.011235589
545,0.66218198,0.030974015,0.89231986,0.0060205469,0.013287846
550,0.69894311,0.02664294,0.99766873,0.0071659102,0.0093353312
555,0.74282858,0.022152708,0.96613441,0.0093377588,0.0073494247
560,0.78588557,0.022138066,0.90773708,0.0092539462,0.0066276641
565,0.82510569,0.026222431,0.89321767,0.0087435538,0.006615038
570,0.86274279,0.02956552,0.94586016,0.0095161974,0.0094377903
575,0.90137887,0.026978237,0.99723238,0.010344276,0.013294658
580,0.94495798,0.022620651,0.95982294,0.013326159,0.012024252
585,0.95299909,0.025427474,0.87743873,0.020432962,0.0068471038
590,0.96857927,0.030501319,0.74973741,0.028453462,0.0036236192
595,0.97798908,0.027355694,0.50196979,0.034730641,0.0032027417
600,0.96701479,0.021269693,0.28316198,0.042809753,0.003160407
605,0.99392887,0.02172031,0.15987838,0.057518875,0.0028998755
610,0.99261353,0.029594108,0.10683121,0.085453384,0.0040874034
