WL(nm),S2A B2,S2A B3,S2A B4,S2A B8
400,0,0,0,0
401,0,0,0,0
402,0,0,0,0
403,0,0,0,0
404,0,0,0,0
405,0,0,0,0
406,0,0,0,0
407,0,0,0,0
408,0,0,0,0
409,0,0,0,0
410,0,0,0,0
411,0,0,0,0
412,0,0,0,0
413,0,0,0,0
414,0,0,0,0
415,0,0,0,0
416,0,0,0,0
417,0,0,0,0
418,0,0,0,0
419,0,0,0,0
420,0,0,0,0
421,0,0,0,0
422,0,0,0,0
423,0,0,0,0
424,0,0,0,0
425,0,0,0,0
426,0,0,0,0
427,0,0,0,0
428,0,0,0,0
429,0,0,0,0
430,0,0,0,0
431,0,0,0,0
432,0,0,0,0
433,0,0,0,0
434,0,0,0,0
435,0,0,0,0
436,0,0,0,0
437,0,0,0,0
438,0,0,0,0
439,0,0,0,0
440,0,0,0,0
441,0,0,0,0
442,0,0,0,0
443,0,0,0,0
444,0,0,0,0
445,0,0,0,0
446,0,0,0,0
447,0,0,0,0
448,0,0,0,0
449,0,0,0,0
450,0,0,0,0
451,0,0,0,0
452,0,0,0,0
453,0,0,0,0
454,0,0,0,0
455,0,0,0,0
456,0.04255531,0,0,0
457,0.0722983,0,0,0
458,0.15374322,0,0,0
459,0.32799225,0,0,0
460,0.55336788,0,0,0
461,0.71011166,0,0,0
462,0.75285179,0,0,0
463,0.75232691,0,0,0
464,0.75668081,0,0,0
465,0.76326948,0,0,0
466,0.76239425,0,0,0
467,0.7852515,0,0,0
468,0.81546669,0,0,0
469,0.86179176,0,0,0
470,0.89282599,0,0,0
471,0.9195221,0,0,0
472,0.91900649,0,0,0
473,0.91315754,0,0,0
474,0.90035366,0,0,0
475,0.88989693,0,0,0
476,0.8823246,0,0,0
477,0.87606118,0,0,0
478,0.88429987,0,0,0
479,0.90695544,0,0,0
480,0.93232085,0,0,0
481,0.93947252,0,0,0
482,0.94383543,0,0,0
483,0.92204086,0,0,0
484,0.8860231,0,0,0
485,0.84743609,0,0,0
486,0.81251687,0,0,0
487,0.7823971,0,0,0
488,0.7731087,0,0,0
489,0.77209054,0,0,0
490,0.78742652,0,0,0
491,0.81217177,0,0,0
492,0.84605052,0,0,0
493,0.88767996,0,0,0
494,0.92793997,0,0,0
495,0.95069235,0,0,0
496,0.96573311,0,0,0
497,0.96938253,0,0,0
498,0.96570294,0,0,0
499,0.95832003,0,0,0
500,0.95405064,0,0,0
501,0.95178268,0,0,0
502,0.95699722,0,0,0
503,0.96556515,0,0,0
504,0.9770514,0,0,0
505,0.97709574,0,0,0
506,0.97436606,0,0,0
507,0.95903183,0,0,0
508,0.93506318,0,0,0
509,0.90190134,0,0,0
510,0.87165792,0,0,0
511,0.84402444,0,0,0
512,0.82280852,0,0,0
513,0.81536043,0,0,0
514,0.82057639,0,0,0
515,0.8395149,0,0,0
516,0.86992171,0,0,0
517,0.91526205,0,0,0
518,0.96067028,0,0,0
519,0.99163699,0,0,0
520,1,0,0,0
521,0.98356097,0,0,0
522,0.91130763,0,0,0
523,0.74018256,0,0,0
524,0.50395858,0,0,0
525,0.3050155,0,0,0
526,0.18004605,0,0,0
527,0.10738342,0,0,0
528,0.06593592,0,0,0
529,0.04207746,0,0,0
530,0.02662129,0,0,0
531,0.0143396,0,0,0
532,0.00265779,0,0,0
533,0.00081822,0,0,0
534,0,0,0,0
535,0,0,0,0
536,0,0,0,0
537,0,0,0,0
538,0,0.01448181,0,0
539,0,0.03422251,0,0
540,0,0.07346335,0,0
541,0,0.15444843,0,0
542,0,0.31661425,0,0
543,0,0.55322279,0,0
544,0,0.74859406,0,0
545,0,0.84890306,0,0
546,0,0.89772216,0,0
547,0,0.9215368,0,0
548,0,0.92572845,0,0
549,0,0.91122688,0,0
