WL(nm),WV2 Pan,WV2 Coastal Blue,WV2 Blue,WV2 Green,WV2 Yellow,WV2 Red,WV2 RedEdge,WV2 NIR1,WV2 NIR2
350,0.0055,0.0019,0.0008,0.0004,0.0003,0.0003,0.0001,0.0003,0.0003
352.5,0.0062,0.0033,0.0004,0.0003,0.0001,0.0001,0.0002,0,0.007
355,0.0068,0.0033,0.0003,0.0001,0.0001,0.0001,0.0003,0,0.0199
357.5,0.0045,0.0028,0.0002,0.0002,0.0001,0,0.0002,0.0001,0.0874
360,0.0022,0.0017,0.0003,0.0002,0,0.0001,0.0002,0.0001,0.0748
362.5,0.0024,0.0033,0.0001,0.0001,0,0,0.0001,0,0.0052
365,0.0027,0.0036,0.0002,0.0002,0.0001,0.0001,0.0001,0,0.0005
367.5,0.0034,0.0044,0.0003,0.0002,0.0001,0.0001,0.0002,0.0001,0.0006
370,0.0041,0.0029,0.0004,0.0003,0.0001,0.0002,0.0002,0.0001,0.0003
372.5,0.0038,0.0062,0.0005,0.0003,0.0001,0.0001,0.0002,0,0.0001
375,0.003,0.0054,0.0004,0.0002,0.0001,0.0001,0.0002,0,0.0002
377.5,0.0039,0.005,0.0005,0.0003,0.0001,0.0002,0.0002,0,0.0003
380,0.0049,0.0074,0.0004,0.0004,0.0001,0.0002,0.0003,0,0.0001
382.5,0.0042,0.0135,0.0003,0.0002,0.0001,0.0001,0.0003,0,0.0002
385,0.0034,0.0454,0.0005,0.0004,0.0001,0.0002,0.0003,0,0.0002
387.5,0.0037,0.1731,0.0006,0.0005,0.0003,0.0003,0.0004,0,0.0002
390,0.004,0.6347,0.0007,0.0004,0.0006,0.0004,0.0008,0.0001,0.0002
392.5,0.005,3.415,0.0005,0.0004,0.0211,0.0002,0.0023,0,0.0002
395,0.006,27.4284,0.0006,0.0004,0.0273,0.0003,0.0013,0,0.0002
397.5,0.005,132.903,0.0007,0.0005,0.0005,0.0004,0.0013,0.0001,0.0002
400,0.004,355.988,0.0028,0.0004,0,0.0003,0.002,0.0002,0.0002
402.5,0.0036,592.58,0.0024,0.0005,0.0001,0.0003,0.0011,0,0.0001
405,0.0033,700.719,0.0017,0.0005,0,0.0003,0.0016,0.0001,0.0002
407.5,0.0037,739.625,0.001,0.0005,0.0001,0.0004,0.001,0.0001,0.0002
410,0.0042,765.307,0.0026,0.0005,0.0002,0.0004,0.001,0.0001,0.0004
412.5,0.0052,787.842,0.0062,0.0004,0.0002,0.0004,0.0011,0.0002,0.0002
415,0.0063,817.088,0.0135,0.0004,0.0001,0.0006,0.0009,0.0001,0.0002
417.5,0.0048,838.687,0.0275,0.0005,0.0002,0.0006,0.002,0.0001,0.0002
420,0.0034,861.78,0.0412,0.0003,0.0002,0.0003,0.0011,0.0001,0.0001
422.5,0.0061,883.513,0.0515,0.0005,0.0003,0.0003,0.0009,0.0001,0.0002
425,0.0088,905.055,0.0701,0.0004,0.0003,0.0003,0.0007,0.0001,0.0002
427.5,0.0105,917.072,0.1333,0.0004,0.0002,0.0003,0.001,0.0001,0.0002
430,0.0121,927.208,0.3374,0.0003,0.0003,0.0003,0.0097,0.0001,0.0001
432.5,0.0499,947.658,0.9579,0.0004,0.0004,0.0003,0.0509,0.0002,0.0002
435,0.0881,965.088,2.2771,0.0005,0.0004,0.0002,0.0025,0.0001,0.0001
437.5,0.2723,979.304,5.4329,0.0003,0.0004,0.0002,0.0003,0.0001,0.0008
440,0.4599,985.921,19.7821,0.0002,0.001,0.0003,0.0008,0.0016,0.0012
442.5,1.6988,989.094,81.8229,0.0003,0.005,0.0002,0.0239,0.0061,0.0001
445,2.9515,997.236,245.2,0.0005,0.0032,0.0004,0.0026,0.0004,0.0002
447.5,55.9008,974.613,503.309,0.0004,0.0012,0.0002,0.0002,0.0001,0.0019
450,109.766,853.94,700.97,0.0006,0.0005,0.0003,0.0002,0.0004,0.0012
452.5,271.344,588.032,757.605,0.0006,0.0003,0.0003,0.0003,0.0003,0.0008
455,436.163,281.577,778.255,0.0005,0.0004,0.0003,0.0001,0.0003,0.0006
457.5,461.822,80.5215,788.626,0.0005,0.0003,0.0002,0.0002,0.0003,0.0002
460,487.533,8.9461,800,0.0023,0.0007,0.0019,0.0002,0.0003,0
462.5,494.856,1.3331,801.737,0.0044,0.0006,0.0034,0.0002,0.0004,0.0001
465,504.992,0.3609,809.859,0.0085,0.0005,0.0008,0.0002,0.0005,0.0004
467.5,515.215,0.1454,821.07,0.0128,0.0005,0.0006,0.0001,0.0006,0.0002
470,525.596,0.0712,826.045,0.0141,0.0004,0.0012,0.0001,0.0004,0
472.5,529.589,0.038,830.925,0.0159,0.0007,0.0024,0.0005,0.0004,0.0009
475,535.583,0.0115,842.262,0.0198,0.0007,0.001,0.0008,0.0007,0.0037
477.5,529.756,0.0096,862.706,0.0212,0.0007,0.0009,0.0017,0.0014,0.0012
480,522.233,0.0051,878.482,0.0226,0.0007,0.0006,0.0009,0.0006,0.0002
482.5,527.207,0.0112,876.943,0.0266,0.0007,0.0013,0.0058,0.0009,0.0001
485,533.66,0.011,878.267,0.0356,0.0007,0.0013,0.0138,0.0016,0.0007
487.5,528.602,0.0108,887.613,0.0435,0.0006,0.0014,0.0079,0.0006,0.0009
490,523.089,0.0091,907.576,0.0664,0.0007,0.0029,0.0039,0.0005,0
492.5,541.112,0.0101,930.559,0.1438,0.0006,0.0019,0.0057,0.0006,0.0003
495,557.28,0.0117,950.192,0.3963,0.0003,0.0029,0.0153,0.0003,0.0001
497.5,558.17,0.0064,976.801,1.1357,0.0004,0.0022,0.0099,0.0002,0
500,558.232,0.0013,1000,3.0919,0.0002,0.0015,0.0012,0.0003,0.0007
502.5,580.899,0.0014,978.94,11.1042,0.0003,0.0023,0.0015,0.0001,0.0008
505,605.533,0.0009,855.779,40.5198,0.0002,0.0008,0.0042,0.0002,0
507.5,616.208,0.0006,593.873,133.788,0.0002,0.0002,0.0014,0.0004,0.0001
