wavelength_nm,Coastal_Blue,Blue,Green,Yellow,Red,RedEdge,NIR1,NIR2
363.0,3.6860092e-07,1.0200592e-08,9.041885e-09,1.4385977e-09,9.330471e-10,1.3111649e-08,0.0,1.9140194e-07
368.16,4.5095393e-07,3.1028044e-08,1.7773836e-08,1.3819089e-08,1.0507001e-08,2.6197553e-08,5.2135984e-09,2.9909568e-08
373.31,6.5770814e-07,4.5184134e-08,2.2526313e-08,1.3819252e-08,8.962905e-09,2.6197863e-08,0.0,6.273764e-09
378.47,5.979416e-07,4.5267665e-08,2.850235e-08,1.3832505e-08,1.7943e-08,3.0612853e-08,0.0,1.2444754e-08
383.63,2.4888545e-06,3.5275495e-08,2.2172022e-08,1.3832669e-08,1.180901e-08,3.9334946e-08,0.0,1.0680581e-08
388.79,3.6708043e-05,6.3167064e-08,3.6622982e-08,5.6658696e-08,3.2668254e-08,7.172209e-08,2.7319096e-09,1.0670096e-08
393.94,0.0014319691,5.2022486e-08,3.272868e-08,3.577422e-06,2.2160338e-08,2.209628e-07,0.0,1.0670222e-08
399.1,0.029219078,2.0889244e-07,3.518009e-08,9.173473e-09,2.9565442e-08,2.3511018e-07,9.328138e-09,1.0680455e-08
404.26,0.07396901,1.8259945e-07,4.0950567e-08,2.9183396e-09,2.691482e-08,1.9595527e-07,4.117705e-09,9.553917e-09
409.42,0.08273029,1.9758166e-07,4.0910365e-08,2.6323198e-08,3.5851194e-08,1.3098777e-07,5.2135984e-09,1.988381e-08
414.57,0.08846825,1.132475e-06,3.272868e-08,1.4905067e-08,5.2368954e-08,1.1994882e-07,5.6233107e-09,1.0670222e-08
419.73,0.09365982,3.7955633e-06,2.5101908e-08,2.766501e-08,2.7788419e-08,1.5174525e-07,5.21866e-09,5.513625e-09
424.89,0.09856663,6.5527065e-06,3.280642e-08,4.1497767e-08,2.6914662e-08,9.1880274e-08,5.2186913e-09,1.0680519e-08
430.05,0.100989744,3.2673e-05,2.4552842e-08,4.1739245e-08,2.6888555e-08,1.3131132e-06,5.2197993e-09,5.341393e-09
435.2,0.105221964,0.0002309998,4.0677378e-08,5.527668e-08,1.7925702e-08,2.8490197e-07,5.213629e-09,5.8540137e-09
440.36,0.107516736,0.0022964347,1.6646853e-08,1.8466856e-07,2.6410174e-08,2.887467e-07,1.0909375e-07,6.0779904e-08
445.52,0.10855604,0.027831465,4.0034518e-08,3.8243385e-07,3.3880156e-08,2.3192507e-07,1.5243463e-08,2.2145228e-08
450.68,0.0867855,0.06866577,4.9093018e-08,5.787662e-08,2.6888715e-08,2.8577956e-08,1.9907313e-08,5.6994665e-08
455.83,0.02195243,0.07435434,4.0910365e-08,5.171827e-08,2.4580691e-08,1.6471398e-08,1.5640797e-08,2.5455538e-08
460.99,0.0004888572,0.07619669,2.493146e-07,9.334938e-08,2.3771271e-07,2.6223297e-08,1.6968823e-08,1.0903309e-09
466.15,2.5214302e-05,0.077575855,8.785815e-07,6.916253e-08,5.9405057e-08,2.0452298e-08,2.9090176e-08,1.7880565e-08
471.31,5.6415583e-06,0.07874538,1.2209479e-06,7.7497155e-08,1.7371418e-07,3.5311793e-08,2.085464e-08,1.6236982e-08
476.46,1.1251719e-06,0.08118079,1.6924073e-06,9.673362e-08,8.4244505e-08,1.8440565e-07,6.151078e-08,1.2487533e-07
481.62,1.0315687e-06,0.08348698,2.031964e-06,9.6828686e-08,9.876479e-08,4.599203e-07,3.9274823e-08,6.07994e-09
486.78,1.1858892e-06,0.08411699,3.3327995e-06,8.577616e-08,1.2134127e-07,1.2826076e-06,4.318975e-08,4.686079e-08
491.94,1.0677313e-06,0.08798905,9.759986e-06,8.7481105e-08,1.8177204e-07,6.628835e-07,3.0614363e-08,1.3955881e-08
497.09,8.0321115e-07,0.092452474,7.920409e-05,5.4283216e-08,2.0888169e-07,1.4476622e-06,1.062604e-08,2.2346786e-10
502.25,1.5228352e-07,0.09348417,0.0008098408,4.11107e-08,2.0433733e-07,1.8983833e-07,5.5109703e-09,4.2656907e-08
507.41,6.546739e-08,0.057468828,0.010575047,2.766501e-08,1.8051184e-08,1.923228e-07,2.0843729e-08,5.141316e-09
512.57,9.799759e-08,0.01166899,0.049952682,2.7606601e-08,1.792581e-08,2.6167623e-08,1.5640982e-08,2.1759599e-08
517.72,1.1965068e-07,0.0015821455,0.06236545,4.0853006e-08,1.7925597e-08,1.33851605e-08,2.0740405e-08,4.7539842e-08
522.88,7.713875e-08,0.0002582438,0.06477532,3.1404205e-08,1.7559943e-08,1.3111493e-08,2.036083e-08,1.0680455e-08
528.04,1.6984605e-07,8.3850406e-05,0.06810769,4.481242e-08,2.149663e-09,1.4682472e-08,5.218722e-09,2.083594e-07
533.2,1.02357085e-07,3.313621e-05,0.06894089,2.7638505e-08,0.0,1.5604781e-08,0.0,2.980344e-08
