wavelength_nm,Coastal_Blue,Blue,Green,Yellow,Red,RedEdge,NIR1,NIR2
380.0,7.3400844e-07,3.458254e-08,2.9794627e-08,1.2544823e-08,1.6352429e-08,3.5724153e-08,0.0,4.7078776e-09
384.69,3.897062e-06,4.1355445e-08,2.818912e-08,1.2531436e-08,1.521221e-08,3.568603e-08,0.0,9.405707e-09
389.37,4.5519664e-05,5.9496166e-08,3.0942246e-08,6.0209906e-08,3.176331e-08,7.7932015e-08,3.984679e-09,9.405707e-09
394.06,0.0014375988,4.7809266e-08,2.9762834e-08,3.2794078e-06,2.0710957e-08,1.924446e-07,0.0,9.405707e-09
398.74,0.023054814,1.5212527e-07,3.3527876e-08,1.6205345e-08,2.8635265e-08,1.9577308e-07,7.671054e-09,9.405707e-09
403.43,0.06372557,1.8720372e-07,3.720354e-08,8.619245e-09,2.450247e-08,1.4941682e-07,1.4783006e-09,6.171038e-09
408.11,0.073986374,9.841777e-08,3.720354e-08,1.6153042e-08,3.266996e-08,1.1895344e-07,4.735256e-09,1.0812311e-08
412.8,0.07838177,5.887135e-07,2.9763026e-08,2.4565024e-08,3.3319342e-08,1.2990417e-07,9.282389e-09,9.405768e-09
417.48,0.08308321,2.365424e-06,3.7202124e-08,2.5060482e-08,4.900494e-08,2.3788192e-07,4.735256e-09,9.405707e-09
422.17,0.08726013,4.306834e-06,3.6494175e-08,3.699696e-08,2.450247e-08,1.0996936e-07,4.735256e-09,9.181529e-09
426.85,0.09058932,9.5347095e-06,2.9762834e-08,2.716371e-08,2.450247e-08,1.0314792e-07,4.735256e-09,9.405707e-09
431.54,0.09308159,5.6879504e-05,2.6229774e-08,4.7139693e-08,2.450247e-08,4.5969914e-06,7.912059e-09,7.857919e-09
436.22,0.096393585,0.000294104,3.1240297e-08,5.0125745e-08,1.633498e-08,1.0719947e-07,4.735256e-09,1.76512e-08
440.91,0.09780856,0.0029633115,1.6285298e-08,2.9546243e-07,2.2043785e-08,9.394917e-07,1.555972e-07,4.0861394e-08
445.59,0.09865565,0.025872847,3.6155907e-08,3.3854022e-07,3.037003e-08,1.9839453e-07,1.32228255e-08,2.1885965e-08
450.28,0.08264449,0.061416924,4.4691944e-08,5.8403604e-08,2.4528646e-08,2.4230761e-08,1.8796191e-08,5.386191e-08
454.97,0.028190715,0.06719893,3.7206732e-08,5.0120377e-08,2.450247e-08,1.1905538e-08,1.4205768e-08,2.8366268e-08
459.65,0.001229395,0.06902775,1.4906097e-07,8.504767e-08,1.3430142e-07,2.3790687e-08,1.4205768e-08,2.9005676e-10
464.34,4.859172e-05,0.06971823,5.458347e-07,6.4173406e-08,1.0626491e-07,2.3790687e-08,2.2426168e-08,1.674251e-08
469.02,9.19512e-06,0.07118827,1.0138023e-06,5.439302e-08,7.1854174e-08,1.1895343e-08,2.2165976e-08,2.324118e-09
473.71,2.181467e-06,0.07215182,1.3262904e-06,8.772005e-08,1.4343412e-07,7.524883e-08,2.3299037e-08,1.13261116e-07
478.39,7.828268e-07,0.075129,1.6104216e-06,8.772005e-08,6.459334e-08,1.7462553e-07,5.5308547e-08,3.3575432e-08
483.08,1.1078604e-06,0.07574371,2.101144e-06,8.772005e-08,1.0617737e-07,9.187452e-07,4.9863015e-08,7.9710825e-09
487.76,1.0620713e-06,0.07678438,3.335684e-06,7.556757e-08,1.1932421e-07,8.780152e-07,2.754985e-08,4.1047695e-08
